,req_index,order_time,desired_time,admit_outcome,predict_with_uncmtd,toa_current_inv,toa_future_exp_return,toa_uncmtd_cnt,toa_occupied_by_pred_same_period,toa_inv_ref,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item,fail_time,exp_return,real_return
0,0,1,17,1,1,5,0,0,0,5,2,50,16,16,1,,54,66
1,1,1,12,1,1,5,0,0,0,5,2,33,11,11,0,,49,44
2,2,10,25,1,1,5,0,2,0,3,2,34,24,24,2,,62,58
3,3,11,31,1,1,5,0,3,0,2,-2,46,,,,31,,
4,4,13,30,1,1,4,0,2,0,2,-2,36,,,,30,,
5,5,16,28,1,1,4,0,2,0,2,2,35,27,27,3,,65,62
6,6,17,31,-1,1,3,0,3,0,0,,,,,,,,
7,7,19,34,-1,1,3,0,4,0,-1,,,,,,,,
8,8,19,36,-1,1,3,0,4,0,-1,,,,,,,,
9,9,20,31,-1,1,3,0,3,0,0,,,,,,,,
10,10,21,29,1,1,3,0,2,0,1,2,33,28,28,4,,66,61
11,11,21,30,-1,1,3,0,3,0,0,,,,,,,,
12,12,23,37,-1,1,3,0,5,0,-2,,,,,,,,
13,13,23,38,-1,1,3,0,5,0,-2,,,,,,,,
14,14,27,41,-1,1,2,0,4,0,-2,,,,,,,,
15,15,27,39,-1,1,2,0,4,0,-2,,,,,,,,
16,16,28,50,-1,1,1,1,3,0,-1,,,,,,,,
17,17,28,43,-1,1,1,0,3,0,-2,,,,,,,,
18,18,30,43,-1,1,0,0,2,0,-2,,,,,,,,
19,19,32,46,-1,1,0,0,0,0,0,,,,,,,,
20,20,32,48,-1,1,0,0,0,0,0,,,,,,,,
21,21,32,47,-1,1,0,0,0,0,0,,,,,,,,
22,22,33,45,-1,1,0,0,0,0,0,,,,,,,,
23,23,34,43,-1,1,0,0,0,0,0,,,,,,,,
24,24,34,47,-1,1,0,0,0,0,0,,,,,,,,
25,25,34,49,-1,1,0,0,0,0,0,,,,,,,,
26,26,37,48,-1,1,0,0,0,0,0,,,,,,,,
27,27,40,56,1,1,0,2,0,0,2,-2,40,,,,56,,
28,28,42,51,1,1,0,1,0,0,1,-2,73,,,,51,,
29,29,42,54,-1,1,0,1,1,0,0,,,,,,,,
30,30,44,61,-1,1,0,2,2,0,0,,,,,,,,
31,31,45,56,1,1,1,1,1,0,1,-2,47,,,,56,,
32,32,45,60,-1,1,1,1,3,0,-1,,,,,,,,
33,33,46,60,-1,1,1,1,3,0,-1,,,,,,,,
34,34,46,65,-1,1,1,2,3,0,0,,,,,,,,
35,35,47,59,-1,1,1,1,3,0,-1,,,,,,,,
36,36,47,56,1,1,1,1,1,0,1,-2,66,,,,56,,
37,37,48,64,-1,1,1,2,4,0,-1,,,,,,,,
38,38,52,68,1,1,1,4,3,0,2,2,78,67,67,0,,,
39,39,52,70,1,1,1,4,4,0,1,2,33,69,69,2,,,
40,40,52,71,-1,1,1,4,5,0,0,,,,,,,,
41,41,52,59,-1,1,1,1,3,0,-1,,,,,,,,
42,42,53,65,-1,1,1,2,3,0,0,,,,,,,,
43,43,54,69,1,1,1,4,4,0,1,2,139,68,68,1,,,
44,44,56,75,-1,1,1,4,6,0,-1,,,,,,,,
45,45,57,76,1,1,1,4,3,0,2,-2,24,,,,76,,
46,46,57,71,1,1,1,4,3,0,2,2,61,70,70,3,,,
47,47,58,77,-1,1,1,4,5,0,0,,,,,,,,
48,48,59,74,1,1,2,3,4,0,1,-2,65,,,,74,,
49,49,61,74,1,1,2,3,4,0,1,-2,66,,,,74,,
50,50,65,79,-1,1,4,1,7,0,-2,,,,,,,,
51,51,66,81,-1,1,4,1,7,0,-2,,,,,,,,
52,52,67,81,-1,1,5,0,7,0,-2,,,,,,,,
53,53,69,88,-1,1,3,0,5,0,-2,,,,,,,,
54,54,69,88,-1,1,3,0,5,0,-2,,,,,,,,
55,55,72,85,-1,1,1,0,3,0,-2,,,,,,,,
56,56,73,93,-1,1,1,0,3,0,-2,,,,,,,,
57,57,75,86,-1,1,1,0,1,0,0,,,,,,,,
58,58,75,85,-1,1,1,0,1,0,0,,,,,,,,
59,59,76,86,-1,1,1,0,1,0,0,,,,,,,,
60,60,78,92,1,1,1,0,0,0,1,-2,18,,,,92,,
61,61,79,87,1,1,1,0,0,0,1,-2,38,,,,87,,
62,62,79,98,-1,1,1,0,2,0,-1,,,,,,,,
63,63,80,97,-1,1,1,0,2,0,-1,,,,,,,,
