,req_index,order_time,desired_time,admit_outcome,predict_with_uncmtd,toa_current_inv,toa_future_exp_return,toa_uncmtd_cnt,toa_occupied_by_pred_same_period,toa_inv_ref,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item,fail_time
0,0,0,12,1,1,5,0,0,0,5,2.0,19.0,11.0,11.0,0.0,
1,1,1,14,1,1,5,0,1,0,4,2.0,60.0,13.0,13.0,2.0,
2,2,1,20,1,1,5,0,2,0,3,-2.0,18.0,,,,20.0
3,3,3,13,1,1,5,0,1,0,4,2.0,36.0,12.0,12.0,1.0,
4,4,3,14,1,1,5,0,2,0,3,2.0,22.0,13.0,13.0,3.0,
5,5,3,17,1,1,5,0,4,0,1,-2.0,65.0,,,,17.0
6,6,4,24,-1,1,5,0,6,0,-1,,,,,,
7,7,4,14,1,1,5,0,2,0,3,2.0,25.0,13.0,13.0,4.0,
8,8,5,21,-1,1,5,0,7,0,-2,,,,,,
9,9,9,25,-1,1,5,0,7,0,-2,,,,,,
10,10,9,23,-1,1,5,0,7,0,-2,,,,,,
11,11,9,25,-1,1,5,0,7,0,-2,,,,,,
12,12,10,29,-1,1,5,0,7,0,-2,,,,,,
13,13,14,25,-1,1,0,0,2,0,-2,,,,,,
14,14,16,31,-1,1,0,0,2,0,-2,,,,,,
15,15,17,33,-1,1,0,0,2,0,-2,,,,,,
16,16,17,30,-1,1,0,0,2,0,-2,,,,,,
17,17,17,37,-1,1,0,0,2,0,-2,,,,,,
18,18,19,29,-1,1,0,0,1,0,-1,,,,,,
19,19,19,28,-1,1,0,0,1,0,-1,,,,,,
20,20,20,34,-1,1,0,0,1,0,-1,,,,,,
21,21,21,33,-1,1,0,0,0,0,0,,,,,,
22,22,21,41,-1,1,0,0,0,0,0,,,,,,
23,23,21,40,-1,1,0,0,0,0,0,,,,,,
24,24,23,31,-1,1,0,0,0,0,0,,,,,,
25,25,23,31,-1,1,0,0,0,0,0,,,,,,
26,26,24,37,-1,1,0,0,0,0,0,,,,,,
27,27,24,40,-1,1,0,0,0,0,0,,,,,,
28,28,26,35,-1,1,0,0,0,0,0,,,,,,
29,29,26,38,-1,1,0,0,0,0,0,,,,,,
30,30,27,38,-1,1,0,0,0,0,0,,,,,,
31,31,28,40,-1,1,0,0,0,0,0,,,,,,
32,32,29,43,-1,1,0,0,0,0,0,,,,,,
33,33,30,43,-1,1,0,0,0,0,0,,,,,,
34,34,30,37,-1,1,0,0,0,0,0,,,,,,
35,35,32,47,1,1,1,0,0,0,1,-2.0,30.0,,,,47.0
36,36,32,45,1,1,1,0,0,0,1,-2.0,36.0,,,,45.0
37,37,33,41,1,1,1,0,0,0,1,2.0,163.0,40.0,40.0,3.0,
38,38,33,40,1,1,1,0,0,0,1,2.0,148.0,39.0,39.0,0.0,
39,39,34,45,-1,1,1,0,2,0,-1,,,,,,
40,40,38,56,1,1,2,3,4,0,1,-2.0,45.0,,,,56.0
41,41,39,55,1,1,3,2,4,0,1,-2.0,68.0,,,,55.0
42,42,39,53,1,1,3,2,4,0,1,2.0,70.0,52.0,52.0,1.0,
43,43,42,61,-1,1,1,2,5,0,-2,,,,,,
44,44,46,58,-1,1,1,2,4,0,-1,,,,,,
45,45,47,62,-1,1,1,2,4,0,-1,,,,,,
46,46,47,56,-1,1,1,2,3,0,0,,,,,,
47,47,49,66,-1,1,2,1,3,0,0,,,,,,
48,48,51,65,-1,1,2,1,3,0,0,,,,,,
49,49,55,69,-1,1,1,1,2,0,0,,,,,,
50,50,56,72,1,1,1,1,1,0,1,-2.0,65.0,,,,72.0
51,51,57,65,1,1,1,1,0,0,2,-2.0,14.0,,,,65.0
52,52,58,78,1,1,1,2,2,0,1,2.0,63.0,77.0,77.0,2.0,
53,53,58,73,-1,1,1,1,2,0,0,,,,,,
54,54,58,68,1,1,1,1,1,0,1,-2.0,35.0,,,,68.0
55,55,63,78,-1,1,1,2,3,0,0,,,,,,
56,56,63,79,-1,1,1,3,4,0,0,,,,,,
57,57,63,79,-1,1,1,3,4,0,0,,,,,,
58,58,64,75,-1,1,1,1,3,0,-1,,,,,,
59,59,65,80,-1,1,1,3,4,0,0,,,,,,
60,60,66,85,1,1,1,3,3,0,1,-2.0,46.0,,,,85.0
61,61,66,83,1,1,1,3,3,0,1,-2.0,19.0,,,,83.0
62,62,67,81,1,1,1,3,3,0,1,-2.0,23.0,,,,81.0
63,63,67,79,1,1,1,3,3,0,1,-2.0,28.0,,,,79.0
64,64,67,79,-1,1,1,3,3,1,0,,,,,,
65,65,68,84,-1,1,1,3,6,0,-2,,,,,,
66,66,69,86,-1,1,1,3,6,0,-2,,,,,,
67,67,70,81,1,1,1,3,3,0,1,-2.0,17.0,,,,81.0
68,68,70,82,-1,1,1,3,5,0,-1,,,,,,
69,69,70,85,-1,1,1,3,6,0,-2,,,,,,
70,70,71,84,-1,1,1,3,6,0,-2,,,,,,
71,71,74,86,-1,1,2,2,6,0,-2,,,,,,
72,72,74,92,-1,1,2,3,6,0,-1,,,,,,
73,73,75,89,-1,1,2,2,6,0,-2,,,,,,
74,74,76,92,-1,1,2,3,6,0,-1,,,,,,
75,75,78,95,-1,1,1,3,5,0,-1,,,,,,
76,76,79,91,-1,1,1,3,5,0,-1,,,,,,
77,77,80,91,-1,1,1,3,4,0,0,,,,,,
78,78,82,94,1,1,1,3,2,0,2,-2.0,47.0,,,,94.0
79,79,82,95,1,1,1,3,3,0,1,-2.0,49.0,,,,95.0
80,80,83,101,-1,1,1,3,4,0,0,,,,,,
81,81,83,97,-1,1,1,3,4,0,0,,,,,,
82,82,83,102,-1,1,1,3,4,0,0,,,,,,
83,83,84,99,1,1,1,3,3,0,1,-2.0,54.0,,,,99.0
84,84,86,97,1,1,1,3,2,0,2,-2.0,34.0,,,,97.0
85,85,87,100,-1,1,1,3,4,0,0,,,,,,
86,86,87,103,-1,1,1,3,4,0,0,,,,,,
87,87,88,98,1,1,1,3,3,0,1,-2.0,57.0,,,,98.0
88,88,91,105,-1,1,1,3,5,0,-1,,,,,,
89,89,93,108,-1,1,1,3,5,0,-1,,,,,,
90,90,94,113,-1,1,1,3,5,0,-1,,,,,,
91,91,95,106,-1,1,1,3,4,0,0,,,,,,
92,92,98,113,1,1,1,3,2,0,2,-2.0,10.0,,,,113.0
93,93,99,115,1,1,1,3,2,0,2,-2.0,38.0,,,,115.0
94,94,101,113,1,1,1,3,0,0,4,-2.0,44.0,,,,113.0
95,95,102,113,1,1,1,3,0,0,4,-2.0,45.0,,,,113.0
96,96,102,116,1,1,1,4,4,0,1,-2.0,47.0,,,,116.0
97,97,102,117,-1,1,1,4,5,0,0,,,,,,
98,98,102,117,-1,1,1,4,5,0,0,,,,,,
99,99,104,119,-1,1,1,4,5,0,0,,,,,,
100,100,104,121,-1,1,1,4,5,0,0,,,,,,
101,101,105,116,1,1,1,4,4,0,1,-2.0,30.0,,,,116.0
102,102,106,120,-1,1,1,4,6,0,-1,,,,,,
103,103,106,115,1,1,1,3,3,0,1,-2.0,26.0,,,,115.0
104,104,107,121,-1,1,1,4,7,0,-2,,,,,,
105,105,108,121,-1,1,1,4,7,0,-2,,,,,,
106,106,108,124,-1,1,1,4,7,0,-2,,,,,,
107,107,108,122,-1,1,1,4,7,0,-2,,,,,,
108,108,109,126,-1,1,1,4,7,0,-2,,,,,,
109,109,109,127,-1,1,1,4,7,0,-2,,,,,,
110,110,111,121,-1,1,1,4,7,0,-2,,,,,,
111,111,111,123,-1,1,1,4,7,0,-2,,,,,,
112,112,112,128,-1,1,1,4,7,0,-2,,,,,,
113,113,113,127,-1,1,1,4,7,0,-2,,,,,,
114,114,113,125,-1,1,1,4,7,0,-2,,,,,,
115,115,118,134,1,1,1,4,0,0,5,-2.0,21.0,,,,134.0
116,116,119,142,1,1,1,4,1,0,4,2.0,63.0,141.0,141.0,2.0,
117,117,119,129,1,1,1,4,0,0,5,2.0,30.0,128.0,128.0,1.0,
118,118,119,136,1,1,1,4,2,0,3,-2.0,28.0,,,,136.0
119,119,120,136,1,1,1,4,2,0,3,-2.0,30.0,,,,136.0
120,120,124,134,1,1,2,3,1,0,4,-2.0,25.0,,,,134.0
121,121,124,135,1,1,2,3,3,0,2,-2.0,38.0,,,,135.0
122,122,126,140,-1,1,2,3,6,0,-1,,,,,,
123,123,127,142,-1,1,2,3,6,0,-1,,,,,,
124,124,127,144,-1,1,2,3,7,0,-2,,,,,,
125,125,129,143,-1,1,1,3,6,0,-2,,,,,,
126,126,130,138,-1,1,1,3,5,0,-1,,,,,,
127,127,130,146,-1,1,1,3,6,0,-2,,,,,,
128,128,131,143,-1,1,1,3,6,0,-2,,,,,,
129,129,131,145,-1,1,1,3,6,0,-2,,,,,,
130,130,132,149,-1,1,1,3,6,0,-2,,,,,,
131,131,132,146,-1,1,1,3,6,0,-2,,,,,,
132,132,133,152,-1,1,1,3,6,0,-2,,,,,,
133,133,135,146,-1,1,1,3,4,0,0,,,,,,
134,134,138,149,1,1,1,3,1,0,3,-2.0,62.0,,,,149.0
135,135,138,149,1,1,1,3,1,1,2,-2.0,21.0,,,,149.0
136,136,138,146,1,1,1,3,1,0,3,-2.0,41.0,,,,146.0
137,137,140,153,-1,1,1,3,4,0,0,,,,,,
138,138,140,152,-1,1,1,3,4,0,0,,,,,,
139,139,141,157,-1,1,2,2,4,0,0,,,,,,
140,140,141,148,1,1,2,2,2,0,2,-2.0,41.0,,,,148.0
141,141,141,156,-1,1,2,2,5,0,-1,,,,,,
142,142,142,157,-1,1,1,2,4,0,-1,,,,,,
143,143,144,153,-1,1,1,2,4,0,-1,,,,,,
144,144,145,161,-1,1,1,2,4,0,-1,,,,,,
145,145,145,159,-1,1,1,2,4,0,-1,,,,,,
146,146,145,167,-1,1,1,3,4,0,0,,,,,,
147,147,146,160,-1,1,1,2,4,0,-1,,,,,,
148,148,146,160,-1,1,1,2,4,0,-1,,,,,,
149,149,148,156,-1,1,1,2,3,0,0,,,,,,
150,150,148,156,-1,1,1,2,3,0,0,,,,,,
151,151,148,162,-1,1,1,2,3,0,0,,,,,,
152,152,148,165,-1,1,1,2,3,0,0,,,,,,
153,153,148,163,-1,1,1,2,3,0,0,,,,,,
154,154,150,162,1,1,1,2,0,0,3,2.0,57.0,161.0,161.0,1.0,
155,155,150,170,1,1,1,3,1,0,3,-2.0,79.0,,,,170.0
156,156,151,170,1,1,1,3,1,0,3,-2.0,30.0,,,,170.0
157,157,156,169,1,1,1,3,1,0,3,-2.0,46.0,,,,169.0
158,158,158,171,-1,1,1,3,4,0,0,,,,,,
159,159,158,170,1,1,1,3,2,0,2,-2.0,58.0,,,,170.0
160,160,158,165,1,1,1,2,1,0,2,-2.0,18.0,,,,165.0
161,161,159,168,1,1,2,2,2,0,2,-2.0,32.0,,,,168.0
162,162,161,178,-1,1,2,2,7,0,-3,,,,,,
163,164,161,176,-1,1,2,2,7,0,-3,,,,,,
164,165,161,175,-1,1,2,2,7,0,-3,,,,,,
165,166,161,178,-1,1,2,2,7,0,-3,,,,,,
166,167,161,175,-1,1,2,2,7,0,-3,,,,,,
167,168,162,175,-1,1,1,2,6,0,-3,,,,,,
168,169,162,171,-1,1,1,2,6,0,-3,,,,,,
169,171,162,182,-1,1,1,3,6,0,-2,,,,,,
170,172,163,174,-1,1,1,2,6,0,-3,,,,,,
171,173,164,176,-1,1,1,2,6,0,-3,,,,,,
172,174,165,178,-1,1,1,2,6,0,-3,,,,,,
173,175,165,179,-1,1,1,2,6,0,-3,,,,,,
174,176,166,176,-1,1,1,2,5,0,-2,,,,,,
175,177,166,182,-1,1,1,3,5,0,-1,,,,,,
176,178,167,174,-1,1,1,2,5,0,-2,,,,,,
177,179,167,181,-1,1,1,3,5,0,-1,,,,,,
178,180,167,179,-1,1,1,2,5,0,-2,,,,,,
179,183,171,182,1,1,1,3,0,0,4,0.0,64.0,,,,
