,req_index,order_time,desired_time,admit_outcome,predict_with_uncmtd,toa_current_inv,toa_future_exp_return,toa_uncmtd_cnt,toa_occupied_by_pred_same_period,toa_inv_ref,commit_outcome,realized_cycle_duration,fail_time,commit_time,finish_time,commit_item
0,0,0,16,1,1,5,0,0,0,5,-2.0,42.0,16.0,,,
1,1,0,13,1,1,5,0,0,0,5,2.0,50.0,,12.0,12.0,3.0
2,2,0,12,1,1,5,0,0,0,5,2.0,9.0,,11.0,11.0,2.0
3,3,2,20,1,1,5,0,3,0,2,-2.0,47.0,20.0,,,
4,4,3,11,1,1,5,0,0,0,5,2.0,38.0,,10.0,10.0,0.0
5,5,3,11,1,1,5,0,0,1,4,2.0,36.0,,10.0,10.0,1.0
6,6,3,15,1,1,5,0,4,0,1,2.0,67.0,,14.0,14.0,4.0
7,7,4,17,-1,1,5,0,6,0,-1,,,,,,
8,8,6,29,-1,1,5,0,7,0,-2,,,,,,
9,9,7,24,-1,1,5,0,7,0,-2,,,,,,
10,10,8,23,-1,1,5,0,7,0,-2,,,,,,
11,11,9,20,-1,1,5,0,6,0,-1,,,,,,
12,12,10,26,-1,1,5,0,7,0,-2,,,,,,
13,13,10,22,-1,1,5,0,7,0,-2,,,,,,
14,14,11,24,-1,1,3,0,5,0,-2,,,,,,
15,15,12,19,-1,1,2,0,3,0,-1,,,,,,
16,16,12,29,-1,1,2,0,4,0,-2,,,,,,
17,17,13,25,-1,1,1,0,3,0,-2,,,,,,
18,18,14,28,-1,1,1,0,3,0,-2,,,,,,
19,19,14,24,-1,1,1,0,3,0,-2,,,,,,
20,20,14,31,-1,1,1,0,3,0,-2,,,,,,
21,21,15,23,-1,1,0,0,2,0,-2,,,,,,
22,22,15,24,-1,1,0,0,2,0,-2,,,,,,
23,23,16,32,-1,1,0,0,2,0,-2,,,,,,
24,24,16,24,-1,1,0,0,2,0,-2,,,,,,
25,25,16,30,-1,1,0,0,2,0,-2,,,,,,
26,26,16,32,-1,1,0,0,2,0,-2,,,,,,
27,27,16,30,-1,1,0,0,2,0,-2,,,,,,
28,28,17,34,-1,1,0,0,1,0,-1,,,,,,
29,29,18,32,-1,1,0,0,1,0,-1,,,,,,
30,30,19,34,-1,1,0,0,1,0,-1,,,,,,
31,31,19,35,-1,1,0,0,1,0,-1,,,,,,
32,32,20,27,-1,1,0,0,1,0,-1,,,,,,
33,33,20,39,-1,1,0,0,1,0,-1,,,,,,
34,34,20,35,-1,1,0,0,1,0,-1,,,,,,
35,35,21,38,1,1,1,0,0,0,1,-2.0,32.0,38.0,,,
36,36,21,28,1,1,1,0,0,0,1,2.0,26.0,,27.0,27.0,2.0
37,37,22,36,-1,1,1,0,1,0,0,,,,,,
38,38,22,33,-1,1,1,0,1,0,0,,,,,,
39,39,23,35,-1,1,1,0,1,0,0,,,,,,
40,40,24,37,-1,1,1,0,1,0,0,,,,,,
41,41,25,50,1,1,1,2,2,0,1,-2.0,16.0,50.0,,,
42,42,27,49,1,1,1,2,2,0,1,2.0,31.0,,48.0,48.0,1.0
43,43,29,45,-1,1,0,0,1,0,-1,,,,,,
