,req_index,order_time,desired_time,admit_outcome,toa_current_inv,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item
0,0,0,18,1,5,2.0,68.0,0.0,0.0,0.0
1,1,0,15,1,4,2.0,35.0,0.0,0.0,1.0
2,2,0,16,1,3,2.0,35.0,0.0,0.0,2.0
3,3,1,19,1,2,2.0,40.0,1.0,1.0,3.0
4,4,2,21,1,1,2.0,49.0,2.0,2.0,4.0
5,5,7,20,-1,0,,,,,
6,6,8,17,-1,0,,,,,
7,7,9,21,-1,0,,,,,
8,8,9,20,-1,0,,,,,
9,9,10,23,-1,0,,,,,
10,10,11,25,-1,0,,,,,
11,11,11,28,-1,0,,,,,
12,12,11,31,-1,0,,,,,
13,13,12,24,-1,0,,,,,
14,14,12,32,-1,0,,,,,
15,15,13,24,-1,0,,,,,
16,16,14,27,-1,0,,,,,
17,17,14,25,-1,0,,,,,
18,18,16,28,-1,0,,,,,
19,19,17,24,-1,0,,,,,
20,20,20,32,-1,0,,,,,
21,21,20,33,-1,0,,,,,
22,22,22,36,-1,0,,,,,
23,23,23,35,-1,0,,,,,
24,24,26,33,-1,0,,,,,
25,25,27,45,-1,0,,,,,
26,26,28,40,-1,0,,,,,
27,27,28,39,-1,0,,,,,
28,28,29,35,-1,0,,,,,
29,29,29,41,-1,0,,,,,
30,30,33,45,-1,0,,,,,
31,31,34,49,-1,0,,,,,
32,32,35,49,-1,0,,,,,
33,33,35,52,-1,0,,,,,
34,34,35,51,-1,0,,,,,
35,35,36,55,-1,0,,,,,
36,36,37,51,-1,0,,,,,
37,37,38,57,-1,0,,,,,
38,38,39,56,-1,0,,,,,
39,39,39,50,-1,0,,,,,
40,40,42,58,-1,0,,,,,
41,41,42,61,-1,0,,,,,
42,42,42,60,-1,0,,,,,
43,43,46,64,-1,0,,,,,
44,44,47,62,-1,0,,,,,
45,45,47,67,-1,0,,,,,
46,46,47,59,-1,0,,,,,
47,47,48,64,-1,0,,,,,
48,48,51,61,1,2,2.0,36.0,51.0,51.0,1.0
49,49,52,67,1,1,2.0,43.0,52.0,52.0,2.0
50,50,53,69,-1,0,,,,,
51,51,54,69,-1,0,,,,,
52,52,55,69,-1,0,,,,,
53,53,57,70,-1,0,,,,,
54,54,58,76,-1,0,,,,,
55,55,60,74,1,1,2.0,27.0,60.0,60.0,3.0
56,56,60,72,-1,0,,,,,
57,57,60,69,-1,0,,,,,
