,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,1,144,9.0278,100.0,9.0278
EDD-1-IT0-current,1,144,38.1944,27.2727,10.4167
EDD-2-IT0-current,1,144,33.3333,31.25,10.4167
EDD-3-IT0-current,1,144,30.5556,34.0909,10.4167
EDD-4-IT0-current,1,144,29.8611,34.8837,10.4167
EDD-5-IT0-current,1,144,28.4722,36.5854,10.4167
EDD-6-IT0-current,1,144,26.3889,39.4737,10.4167
FOFS-ITInf-current,1,144,100.0,9.7222,9.7222
EDD-1-ITInf-current,1,144,100.0,9.0278,9.0278
EDD-2-ITInf-current,1,144,100.0,9.0278,9.0278
EDD-3-ITInf-current,1,144,100.0,9.0278,9.0278
EDD-4-ITInf-current,1,144,100.0,9.0278,9.0278
EDD-5-ITInf-current,1,144,100.0,9.0278,9.0278
EDD-6-ITInf-current,1,144,100.0,9.0278,9.0278
FOFS-IT0-future,1,144,85.4167,11.3821,9.7222
EDD-1-IT0-future,1,144,93.0556,9.7015,9.0278
EDD-2-IT0-future,1,144,92.3611,9.7744,9.0278
EDD-3-IT0-future,1,144,90.9722,9.9237,9.0278
EDD-4-IT0-future,1,144,90.9722,9.9237,9.0278
EDD-5-IT0-future,1,144,90.9722,9.9237,9.0278
EDD-6-IT0-future,1,144,90.9722,9.9237,9.0278
FOFS-ITInf-future,1,144,100.0,9.7222,9.7222
EDD-1-ITInf-future,1,144,100.0,9.0278,9.0278
EDD-2-ITInf-future,1,144,100.0,9.0278,9.0278
EDD-3-ITInf-future,1,144,100.0,9.0278,9.0278
EDD-4-ITInf-future,1,144,100.0,9.0278,9.0278
EDD-5-ITInf-future,1,144,100.0,9.0278,9.0278
EDD-6-ITInf-future,1,144,100.0,9.0278,9.0278
FOFS-IT0-future_cstp,1,144,29.1667,28.5714,8.3333
EDD-1-IT0-future_cstp,1,144,31.9444,26.087,8.3333
EDD-2-IT0-future_cstp,1,144,31.9444,26.087,8.3333
EDD-3-IT0-future_cstp,1,144,31.9444,26.087,8.3333
EDD-4-IT0-future_cstp,1,144,31.9444,26.087,8.3333
EDD-5-IT0-future_cstp,1,144,31.9444,26.087,8.3333
EDD-6-IT0-future_cstp,1,144,31.9444,26.087,8.3333
FOFS-ITInf-future_cstp,1,144,100.0,9.7222,9.7222
EDD-1-ITInf-future_cstp,1,144,100.0,9.0278,9.0278
EDD-2-ITInf-future_cstp,1,144,100.0,9.0278,9.0278
EDD-3-ITInf-future_cstp,1,144,100.0,9.0278,9.0278
EDD-4-ITInf-future_cstp,1,144,100.0,9.0278,9.0278
EDD-5-ITInf-future_cstp,1,144,100.0,9.0278,9.0278
EDD-6-ITInf-future_cstp,1,144,100.0,9.0278,9.0278
FOFS-IT0-current,10,162,7.4074,100.0,7.4074
EDD-1-IT0-current,10,162,34.5679,28.5714,9.8765
EDD-2-IT0-current,10,162,31.4815,29.4118,9.2593
EDD-3-IT0-current,10,162,29.6296,31.25,9.2593
EDD-4-IT0-current,10,162,28.3951,32.6087,9.2593
EDD-5-IT0-current,10,162,25.9259,35.7143,9.2593
EDD-6-IT0-current,10,162,24.6914,40.0,9.8765
FOFS-ITInf-current,10,162,100.0,10.4938,10.4938
EDD-1-ITInf-current,10,162,100.0,9.8765,9.8765
EDD-2-ITInf-current,10,162,100.0,9.8765,9.8765
EDD-3-ITInf-current,10,162,100.0,9.8765,9.8765
EDD-4-ITInf-current,10,162,100.0,9.8765,9.8765
EDD-5-ITInf-current,10,162,100.0,9.8765,9.8765
EDD-6-ITInf-current,10,162,100.0,9.8765,9.8765
FOFS-IT0-future,10,162,79.6296,10.8527,8.642
EDD-1-IT0-future,10,162,82.0988,10.5263,8.642
EDD-2-IT0-future,10,162,82.0988,10.5263,8.642
EDD-3-IT0-future,10,162,82.0988,10.5263,8.642
EDD-4-IT0-future,10,162,82.0988,10.5263,8.642
EDD-5-IT0-future,10,162,82.0988,10.5263,8.642
EDD-6-IT0-future,10,162,80.8642,10.687,8.642
FOFS-ITInf-future,10,162,100.0,10.4938,10.4938
EDD-1-ITInf-future,10,162,100.0,9.8765,9.8765
EDD-2-ITInf-future,10,162,100.0,9.8765,9.8765
EDD-3-ITInf-future,10,162,100.0,9.8765,9.8765
EDD-4-ITInf-future,10,162,100.0,9.8765,9.8765
EDD-5-ITInf-future,10,162,100.0,9.8765,9.8765
EDD-6-ITInf-future,10,162,100.0,9.8765,9.8765
FOFS-IT0-future_cstp,10,162,29.6296,29.1667,8.642
EDD-1-IT0-future_cstp,10,162,30.2469,30.6122,9.2593
EDD-2-IT0-future_cstp,10,162,30.2469,30.6122,9.2593
EDD-3-IT0-future_cstp,10,162,30.2469,30.6122,9.2593
EDD-4-IT0-future_cstp,10,162,30.2469,30.6122,9.2593
EDD-5-IT0-future_cstp,10,162,30.2469,30.6122,9.2593
EDD-6-IT0-future_cstp,10,162,30.2469,30.6122,9.2593
FOFS-ITInf-future_cstp,10,162,100.0,10.4938,10.4938
EDD-1-ITInf-future_cstp,10,162,100.0,9.8765,9.8765
EDD-2-ITInf-future_cstp,10,162,100.0,9.8765,9.8765
EDD-3-ITInf-future_cstp,10,162,100.0,9.8765,9.8765
EDD-4-ITInf-future_cstp,10,162,100.0,9.8765,9.8765
EDD-5-ITInf-future_cstp,10,162,100.0,9.8765,9.8765
EDD-6-ITInf-future_cstp,10,162,100.0,9.8765,9.8765
FOFS-IT0-current,11,180,7.2222,100.0,7.2222
EDD-1-IT0-current,11,180,28.3333,31.3725,8.8889
EDD-2-IT0-current,11,180,30.5556,29.0909,8.8889
EDD-3-IT0-current,11,180,28.3333,31.3725,8.8889
EDD-4-IT0-current,11,180,27.7778,30.0,8.3333
EDD-5-IT0-current,11,180,25.0,33.3333,8.3333
EDD-6-IT0-current,11,180,20.5556,40.5405,8.3333
FOFS-ITInf-current,11,180,100.0,8.8889,8.8889
EDD-1-ITInf-current,11,180,100.0,9.4444,9.4444
EDD-2-ITInf-current,11,180,100.0,9.4444,9.4444
EDD-3-ITInf-current,11,180,100.0,9.4444,9.4444
EDD-4-ITInf-current,11,180,100.0,9.4444,9.4444
EDD-5-ITInf-current,11,180,100.0,9.4444,9.4444
EDD-6-ITInf-current,11,180,100.0,9.4444,9.4444
FOFS-IT0-future,11,180,85.5556,11.039,9.4444
EDD-1-IT0-future,11,180,93.3333,11.9048,11.1111
EDD-2-IT0-future,11,180,93.3333,11.9048,11.1111
