,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,1,137,7.2993,100.0,7.2993
EDD-1-IT0-current,1,137,38.6861,26.4151,10.219
EDD-2-IT0-current,1,137,47.4453,16.9231,8.0292
EDD-3-IT0-current,1,137,45.9854,17.4603,8.0292
EDD-4-IT0-current,1,137,45.2555,17.7419,8.0292
EDD-5-IT0-current,1,137,43.0657,18.6441,8.0292
EDD-6-IT0-current,1,137,40.8759,19.6429,8.0292
FOFS-ITInf-current,1,137,100.0,8.0292,8.0292
EDD-1-ITInf-current,1,137,100.0,10.219,10.219
EDD-2-ITInf-current,1,137,100.0,10.219,10.219
EDD-3-ITInf-current,1,137,100.0,10.219,10.219
EDD-4-ITInf-current,1,137,100.0,10.219,10.219
EDD-5-ITInf-current,1,137,100.0,10.219,10.219
EDD-6-ITInf-current,1,137,100.0,10.219,10.219
FOFS-IT0-future,1,137,83.2117,9.6491,8.0292
EDD-1-IT0-future,1,137,78.1022,14.0187,10.9489
EDD-2-IT0-future,1,137,76.6423,14.2857,10.9489
EDD-3-IT0-future,1,137,75.1825,14.5631,10.9489
EDD-4-IT0-future,1,137,75.1825,14.5631,10.9489
EDD-5-IT0-future,1,137,74.4526,14.7059,10.9489
EDD-6-IT0-future,1,137,81.0219,13.5135,10.9489
FOFS-ITInf-future,1,137,100.0,8.0292,8.0292
EDD-1-ITInf-future,1,137,100.0,10.219,10.219
EDD-2-ITInf-future,1,137,100.0,10.219,10.219
EDD-3-ITInf-future,1,137,100.0,10.219,10.219
EDD-4-ITInf-future,1,137,100.0,10.219,10.219
EDD-5-ITInf-future,1,137,100.0,10.219,10.219
EDD-6-ITInf-future,1,137,100.0,10.219,10.219
FOFS-IT0-future_cstp,1,137,15.3285,47.619,7.2993
EDD-1-IT0-future_cstp,1,137,17.5182,50.0,8.7591
EDD-2-IT0-future_cstp,1,137,17.5182,50.0,8.7591
EDD-3-IT0-future_cstp,1,137,16.0584,54.5455,8.7591
EDD-4-IT0-future_cstp,1,137,15.3285,52.381,8.0292
EDD-5-IT0-future_cstp,1,137,16.0584,54.5455,8.7591
EDD-6-IT0-future_cstp,1,137,18.2482,56.0,10.219
FOFS-ITInf-future_cstp,1,137,100.0,8.0292,8.0292
EDD-1-ITInf-future_cstp,1,137,100.0,10.219,10.219
EDD-2-ITInf-future_cstp,1,137,100.0,10.219,10.219
EDD-3-ITInf-future_cstp,1,137,100.0,10.219,10.219
EDD-4-ITInf-future_cstp,1,137,100.0,10.219,10.219
EDD-5-ITInf-future_cstp,1,137,100.0,10.219,10.219
EDD-6-ITInf-future_cstp,1,137,100.0,10.219,10.219
FOFS-IT0-current,10,147,8.1633,100.0,8.1633
EDD-1-IT0-current,10,147,51.0204,12.0,6.1224
EDD-2-IT0-current,10,147,48.2993,12.6761,6.1224
EDD-3-IT0-current,10,147,45.5782,13.4328,6.1224
EDD-4-IT0-current,10,147,42.1769,14.5161,6.1224
EDD-5-IT0-current,10,147,40.1361,15.2542,6.1224
EDD-6-IT0-current,10,147,38.7755,15.7895,6.1224
FOFS-ITInf-current,10,147,100.0,10.8844,10.8844
EDD-1-ITInf-current,10,147,100.0,8.1633,8.1633
EDD-2-ITInf-current,10,147,100.0,8.1633,8.1633
EDD-3-ITInf-current,10,147,100.0,8.1633,8.1633
EDD-4-ITInf-current,10,147,100.0,8.1633,8.1633
EDD-5-ITInf-current,10,147,100.0,8.1633,8.1633
EDD-6-ITInf-current,10,147,100.0,8.1633,8.1633
FOFS-IT0-future,10,147,51.7007,18.4211,9.5238
EDD-1-IT0-future,10,147,78.2313,9.5652,7.483
EDD-2-IT0-future,10,147,78.2313,9.5652,7.483
EDD-3-IT0-future,10,147,76.8707,9.7345,7.483
EDD-4-IT0-future,10,147,76.1905,9.8214,7.483
EDD-5-IT0-future,10,147,75.5102,9.9099,7.483
EDD-6-IT0-future,10,147,76.8707,9.7345,7.483
FOFS-ITInf-future,10,147,100.0,10.8844,10.8844
EDD-1-ITInf-future,10,147,100.0,8.1633,8.1633
EDD-2-ITInf-future,10,147,100.0,8.1633,8.1633
EDD-3-ITInf-future,10,147,100.0,8.1633,8.1633
EDD-4-ITInf-future,10,147,100.0,8.1633,8.1633
EDD-5-ITInf-future,10,147,100.0,8.1633,8.1633
EDD-6-ITInf-future,10,147,100.0,8.1633,8.1633
