policy_id,rseed,num_req,adm_rate,succ_order_rate,service_rate
EDD-1-IT0-current,15.5,154.4,46.61103667,17.64691,8.038723333
EDD-1-IT0-future,15.5,154.4,78.79699667,10.96305,8.519913333
EDD-1-IT0-future_cstp,15.5,154.4,15.15536333,53.55295667,7.993926667
EDD-1-ITInf-current,15.5,154.4,100,8.897756667,8.897756667
EDD-1-ITInf-future,15.5,154.4,100,8.897756667,8.897756667
EDD-1-ITInf-future_cstp,15.5,154.4,100,8.897756667,8.897756667
EDD-2-IT0-current,15.5,154.4,46.65961,17.28028333,7.88245
EDD-2-IT0-future,15.5,154.4,78.04668667,11.07599,8.523023333
EDD-2-IT0-future_cstp,15.5,154.4,15.40458,52.17206,7.925206667
EDD-2-ITInf-current,15.5,154.4,100,8.897756667,8.897756667
EDD-2-ITInf-future,15.5,154.4,100,8.897756667,8.897756667
EDD-2-ITInf-future_cstp,15.5,154.4,100,8.897756667,8.897756667
EDD-3-IT0-current,15.5,154.4,46.06376667,17.28881,7.777786667
EDD-3-IT0-future,15.5,154.4,77.56399,11.29984667,8.65277
EDD-3-IT0-future_cstp,15.5,154.4,15.44375667,53.03972333,8.09845
EDD-3-ITInf-current,15.5,154.4,100,8.897756667,8.897756667
EDD-3-ITInf-future,15.5,154.4,100,8.897756667,8.897756667
EDD-3-ITInf-future_cstp,15.5,154.4,100,8.897756667,8.897756667
EDD-4-IT0-current,15.5,154.4,46.04597,17.28322667,7.80057
EDD-4-IT0-future,15.5,154.4,77.48411,11.14658333,8.557486667
EDD-4-IT0-future_cstp,15.5,154.4,15.52133667,52.30557,8.03606
EDD-4-ITInf-current,15.5,154.4,100,8.897756667,8.897756667
EDD-4-ITInf-future,15.5,154.4,100,8.897756667,8.897756667
EDD-4-ITInf-future_cstp,15.5,154.4,100,8.897756667,8.897756667
EDD-5-IT0-current,15.5,154.4,44.57715333,17.73649,7.76011
EDD-5-IT0-future,15.5,154.4,76.74980667,11.33692333,8.617856667
EDD-5-IT0-future_cstp,15.5,154.4,15.70973,51.98991667,8.040003333
EDD-5-ITInf-current,15.5,154.4,100,8.897756667,8.897756667
EDD-5-ITInf-future,15.5,154.4,100,8.897756667,8.897756667
EDD-5-ITInf-future_cstp,15.5,154.4,100,8.897756667,8.897756667
EDD-6-IT0-current,15.5,154.4,42.98857333,18.42090667,7.778846667
EDD-6-IT0-future,15.5,154.4,76.70511,11.45458333,8.685413333
EDD-6-IT0-future_cstp,15.5,154.4,16.17598667,50.51393,8.074603333
EDD-6-ITInf-current,15.5,154.4,100,8.897756667,8.897756667
EDD-6-ITInf-future,15.5,154.4,100,8.897756667,8.897756667
EDD-6-ITInf-future_cstp,15.5,154.4,100,8.897756667,8.897756667
FOFS-IT0-current,15.5,154.4,7.192643333,100,7.192643333
FOFS-IT0-future,15.5,154.4,71.95992333,12.40873333,8.6785
FOFS-IT0-future_cstp,15.5,154.4,16.21517667,50.19620667,8.04909
FOFS-ITInf-current,15.5,154.4,100,9.078156667,9.078156667
FOFS-ITInf-future,15.5,154.4,100,9.078156667,9.078156667
FOFS-ITInf-future_cstp,15.5,154.4,100,9.078156667,9.078156667
