,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,28,174,6.8966,100.0,6.8966
EDD-1-IT0-current,28,174,32.1839,23.2143,7.4713
EDD-2-IT0-current,28,174,28.7356,26.0,7.4713
EDD-3-IT0-current,28,174,26.4368,28.2609,7.4713
EDD-4-IT0-current,28,174,24.1379,30.9524,7.4713
EDD-5-IT0-current,28,174,19.5402,32.3529,6.3218
EDD-6-IT0-current,28,174,16.6667,37.931,6.3218
FOFS-ITInf-current,28,174,100.0,8.6207,8.6207
EDD-1-ITInf-current,28,174,100.0,6.8966,6.8966
EDD-2-ITInf-current,28,174,100.0,6.8966,6.8966
EDD-3-ITInf-current,28,174,100.0,6.8966,6.8966
EDD-4-ITInf-current,28,174,100.0,6.8966,6.8966
EDD-5-ITInf-current,28,174,100.0,6.8966,6.8966
EDD-6-ITInf-current,28,174,100.0,6.8966,6.8966
FOFS-IT0-future,28,174,87.3563,9.8684,8.6207
EDD-1-IT0-future,28,174,87.3563,6.5789,5.7471
EDD-2-IT0-future,28,174,87.3563,7.8947,6.8966
EDD-3-IT0-future,28,174,87.931,6.5359,5.7471
EDD-4-IT0-future,28,174,88.5057,8.4416,7.4713
EDD-5-IT0-future,28,174,87.931,7.8431,6.8966
EDD-6-IT0-future,28,174,87.3563,7.8947,6.8966
FOFS-ITInf-future,28,174,100.0,8.6207,8.6207
EDD-1-ITInf-future,28,174,100.0,6.8966,6.8966
EDD-2-ITInf-future,28,174,100.0,6.8966,6.8966
EDD-3-ITInf-future,28,174,100.0,6.8966,6.8966
EDD-4-ITInf-future,28,174,100.0,6.8966,6.8966
EDD-5-ITInf-future,28,174,100.0,6.8966,6.8966
EDD-6-ITInf-future,28,174,100.0,6.8966,6.8966
FOFS-IT0-future_cstp,28,174,31.0345,25.9259,8.046
EDD-1-IT0-future_cstp,28,174,31.0345,22.2222,6.8966
EDD-2-IT0-future_cstp,28,174,29.8851,23.0769,6.8966
EDD-3-IT0-future_cstp,28,174,31.6092,21.8182,6.8966
EDD-4-IT0-future_cstp,28,174,32.7586,22.807,7.4713
EDD-5-IT0-future_cstp,28,174,34.4828,20.0,6.8966
EDD-6-IT0-future_cstp,28,174,34.4828,20.0,6.8966
FOFS-ITInf-future_cstp,28,174,100.0,8.6207,8.6207
EDD-1-ITInf-future_cstp,28,174,100.0,6.8966,6.8966
EDD-2-ITInf-future_cstp,28,174,100.0,6.8966,6.8966
EDD-3-ITInf-future_cstp,28,174,100.0,6.8966,6.8966
EDD-4-ITInf-future_cstp,28,174,100.0,6.8966,6.8966
EDD-5-ITInf-future_cstp,28,174,100.0,6.8966,6.8966
EDD-6-ITInf-future_cstp,28,174,100.0,6.8966,6.8966
