,rseed,num_req,adm_rate,succ_order_rate,service_rate
NomiSch-NomiSchCpl-NomiSchCpl,1.0,70.0,35.7143,76.0,27.1429
NomiSch-NomiSchCpl-NomiSchCpl,10.0,83.0,33.7349,57.1429,19.2771
NomiSch-NomiSchCpl-NomiSchCpl,11.0,79.0,37.9747,56.6667,21.519
NomiSch-NomiSchCpl-NomiSchCpl,12.0,76.0,40.7895,58.0645,23.6842
NomiSch-NomiSchCpl-NomiSchCpl,13.0,69.0,37.6812,73.0769,27.5362
NomiSch-NomiSchCpl-NomiSchCpl,14.0,77.0,38.961,56.6667,22.0779
NomiSch-NomiSchCpl-NomiSchCpl,15.0,72.0,36.1111,65.3846,23.6111
NomiSch-NomiSchCpl-NomiSchCpl,16.0,76.0,36.8421,64.2857,23.6842
NomiSch-NomiSchCpl-NomiSchCpl,17.0,82.0,34.1463,60.7143,20.7317
NomiSch-NomiSchCpl-NomiSchCpl,18.0,80.0,38.75,54.8387,21.25
NomiSch-NomiSchCpl-NomiSchCpl,19.0,87.0,29.8851,65.3846,19.5402
NomiSch-NomiSchCpl-NomiSchCpl,2.0,79.0,35.443,64.2857,22.7848
NomiSch-NomiSchCpl-NomiSchCpl,20.0,92.0,33.6957,51.6129,17.3913
NomiSch-NomiSchCpl-NomiSchCpl,21.0,97.0,28.866,60.7143,17.5258
NomiSch-NomiSchCpl-NomiSchCpl,22.0,75.0,34.6667,76.9231,26.6667
NomiSch-NomiSchCpl-NomiSchCpl,23.0,80.0,36.25,62.069,22.5
NomiSch-NomiSchCpl-NomiSchCpl,24.0,98.0,32.6531,53.125,17.3469
NomiSch-NomiSchCpl-NomiSchCpl,25.0,88.0,34.0909,56.6667,19.3182
NomiSch-NomiSchCpl-NomiSchCpl,26.0,95.0,29.4737,67.8571,20.0
NomiSch-NomiSchCpl-NomiSchCpl,27.0,93.0,29.0323,70.3704,20.4301
NomiSch-NomiSchCpl-NomiSchCpl,28.0,96.0,26.0417,84.0,21.875
NomiSch-NomiSchCpl-NomiSchCpl,29.0,83.0,31.3253,73.0769,22.8916
NomiSch-NomiSchCpl-NomiSchCpl,3.0,81.0,33.3333,70.3704,23.4568
NomiSch-NomiSchCpl-NomiSchCpl,30.0,89.0,32.5843,55.1724,17.9775
NomiSch-NomiSchCpl-NomiSchCpl,4.0,93.0,29.0323,74.0741,21.5054
NomiSch-NomiSchCpl-NomiSchCpl,5.0,73.0,38.3562,64.2857,24.6575
NomiSch-NomiSchCpl-NomiSchCpl,6.0,96.0,35.4167,47.0588,16.6667
NomiSch-NomiSchCpl-NomiSchCpl,7.0,91.0,36.2637,48.4848,17.5824
NomiSch-NomiSchCpl-NomiSchCpl,8.0,83.0,37.3494,61.2903,22.8916
NomiSch-NomiSchCpl-NomiSchCpl,9.0,85.0,30.5882,65.3846,20.0
NomiSch-NomiSchCpl-NomiSchCpl,15.5,83.93333333333334,34.16842333333333,63.16825999999999,21.45076
NomiSch-NomiSchCpl-NomiSchCpl,1.0,144.0,19.4444,64.2857,12.5
NomiSch-NomiSchCpl-NomiSchCpl,10.0,162.0,19.7531,59.375,11.7284
NomiSch-NomiSchCpl-NomiSchCpl,11.0,180.0,15.5556,71.4286,11.1111
NomiSch-NomiSchCpl-NomiSchCpl,12.0,152.0,18.4211,78.5714,14.4737
NomiSch-NomiSchCpl-NomiSchCpl,13.0,145.0,22.069,53.125,11.7241
NomiSch-NomiSchCpl-NomiSchCpl,14.0,164.0,17.6829,62.069,10.9756
NomiSch-NomiSchCpl-NomiSchCpl,15.0,154.0,20.1299,61.2903,12.3377
NomiSch-NomiSchCpl-NomiSchCpl,16.0,168.0,19.0476,53.125,10.119
NomiSch-NomiSchCpl-NomiSchCpl,17.0,182.0,16.4835,66.6667,10.989
NomiSch-NomiSchCpl-NomiSchCpl,18.0,180.0,16.1111,68.9655,11.1111
NomiSch-NomiSchCpl-NomiSchCpl,19.0,161.0,19.2547,58.0645,11.1801
NomiSch-NomiSchCpl-NomiSchCpl,2.0,155.0,19.3548,63.3333,12.2581
NomiSch-NomiSchCpl-NomiSchCpl,20.0,204.0,14.7059,60.0,8.8235
NomiSch-NomiSchCpl-NomiSchCpl,21.0,178.0,17.4157,58.0645,10.1124
NomiSch-NomiSchCpl-NomiSchCpl,22.0,159.0,20.7547,60.6061,12.5786
NomiSch-NomiSchCpl-NomiSchCpl,23.0,158.0,22.1519,48.5714,10.7595
NomiSch-NomiSchCpl-NomiSchCpl,24.0,185.0,16.7568,61.2903,10.2703
NomiSch-NomiSchCpl-NomiSchCpl,25.0,166.0,20.4819,52.9412,10.8434
NomiSch-NomiSchCpl-NomiSchCpl,26.0,182.0,17.5824,56.25,9.8901
NomiSch-NomiSchCpl-NomiSchCpl,27.0,186.0,16.129,60.0,9.6774
NomiSch-NomiSchCpl-NomiSchCpl,28.0,174.0,20.1149,45.7143,9.1954
NomiSch-NomiSchCpl-NomiSchCpl,29.0,169.0,17.1598,68.9655,11.8343
NomiSch-NomiSchCpl-NomiSchCpl,3.0,179.0,19.5531,45.7143,8.9385
NomiSch-NomiSchCpl-NomiSchCpl,30.0,165.0,16.9697,71.4286,12.1212
NomiSch-NomiSchCpl-NomiSchCpl,4.0,179.0,15.6425,67.8571,10.6145
NomiSch-NomiSchCpl-NomiSchCpl,5.0,160.0,19.375,54.8387,10.625
NomiSch-NomiSchCpl-NomiSchCpl,6.0,167.0,19.1617,56.25,10.7784
NomiSch-NomiSchCpl-NomiSchCpl,7.0,164.0,19.5122,59.375,11.5854
NomiSch-NomiSchCpl-NomiSchCpl,8.0,165.0,19.3939,56.25,10.9091
NomiSch-NomiSchCpl-NomiSchCpl,9.0,180.0,17.2222,58.0645,10.0
