,rseed,num_req,adm_rate,succ_order_rate,service_rate
EDD-1-IT0-future_cstp,1,144,31.9444,26.087,8.3333
EDD-1-IT0-future_cstp,10,162,30.2469,30.6122,9.2593
EDD-1-IT0-future_cstp,11,180,28.8889,30.7692,8.8889
EDD-1-IT0-future_cstp,12,152,34.8684,26.4151,9.2105
EDD-1-IT0-future_cstp,13,145,35.8621,30.7692,11.0345
EDD-1-IT0-future_cstp,14,164,28.6585,29.7872,8.5366
EDD-1-IT0-future_cstp,15,154,29.8701,30.4348,9.0909
EDD-1-IT0-future_cstp,16,168,30.9524,28.8462,8.9286
EDD-1-IT0-future_cstp,17,182,25.2747,32.6087,8.2418
EDD-1-IT0-future_cstp,18,180,30.0,22.2222,6.6667
EDD-1-IT0-future_cstp,19,161,26.7081,34.8837,9.3168
EDD-1-IT0-future_cstp,2,155,32.2581,32.0,10.3226
EDD-1-IT0-future_cstp,20,204,24.0196,34.6939,8.3333
EDD-1-IT0-future_cstp,21,178,28.6517,25.4902,7.3034
EDD-1-IT0-future_cstp,22,159,29.5597,36.1702,10.6918
EDD-1-IT0-future_cstp,23,158,33.5443,32.0755,10.7595
EDD-1-IT0-future_cstp,24,185,30.8108,26.3158,8.1081
EDD-1-IT0-future_cstp,25,166,30.7229,25.4902,7.8313
EDD-1-IT0-future_cstp,26,182,28.5714,25.0,7.1429
EDD-1-IT0-future_cstp,27,186,26.3441,34.6939,9.1398
EDD-1-IT0-future_cstp,28,174,29.8851,23.0769,6.8966
EDD-1-IT0-future_cstp,29,169,27.2189,34.7826,9.4675
EDD-1-IT0-future_cstp,3,179,32.4022,20.6897,6.7039
EDD-1-IT0-future_cstp,30,165,30.303,32.0,9.697
EDD-1-IT0-future_cstp,4,179,27.3743,28.5714,7.8212
EDD-1-IT0-future_cstp,5,160,31.875,25.4902,8.125
EDD-1-IT0-future_cstp,6,167,27.5449,26.087,7.1856
EDD-1-IT0-future_cstp,7,164,28.6585,36.1702,10.3659
EDD-1-IT0-future_cstp,8,165,32.1212,20.7547,6.6667
EDD-1-IT0-future_cstp,9,180,25.5556,30.4348,7.7778
