,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
0,1,144,21.5278,45.1613,9.7222,EDDPred,68
1,2,155,24.5161,47.3684,11.6129,EDDPred,68
2,3,179,21.2291,36.8421,7.8212,EDDPred,68
3,4,179,19.5531,40.0,7.8212,EDDPred,68
4,5,160,30.625,26.5306,8.125,EDDPred,68
5,6,167,23.3533,30.7692,7.1856,EDDPred,68
6,7,164,22.561,43.2432,9.7561,EDDPred,68
7,8,165,23.0303,31.5789,7.2727,EDDPred,68
8,9,180,18.8889,35.2941,6.6667,EDDPred,68
9,10,162,19.7531,50.0,9.8765,EDDPred,68
10,11,180,18.8889,47.0588,8.8889,EDDPred,68
11,12,152,24.3421,35.1351,8.5526,EDDPred,68
12,13,145,24.1379,45.7143,11.0345,EDDPred,68
13,14,164,21.9512,38.8889,8.5366,EDDPred,68
14,15,154,20.1299,41.9355,8.4416,EDDPred,68
15,16,168,23.8095,37.5,8.9286,EDDPred,68
16,17,182,20.8791,31.5789,6.5934,EDDPred,68
17,18,180,23.3333,28.5714,6.6667,EDDPred,68
18,19,161,20.4969,42.4242,8.6957,EDDPred,68
19,20,204,18.1373,35.1351,6.3725,EDDPred,68
20,21,178,20.7865,43.2432,8.9888,EDDPred,68
21,22,159,20.7547,51.5152,10.6918,EDDPred,68
22,23,158,18.9873,53.3333,10.1266,EDDPred,68
23,24,185,20.0,40.5405,8.1081,EDDPred,68
24,25,166,18.0723,46.6667,8.4337,EDDPred,68
25,26,182,25.8242,31.9149,8.2418,EDDPred,68
26,27,186,20.4301,36.8421,7.5269,EDDPred,68
27,28,174,24.1379,30.9524,7.4713,EDDPred,68
28,29,169,26.6272,33.3333,8.8757,EDDPred,68
29,30,165,21.8182,41.6667,9.0909,EDDPred,68
30,31,154,25.974,42.5,11.039,EDDPred,68
31,32,160,25.625,31.7073,8.125,EDDPred,68
32,33,181,20.442,43.2432,8.8398,EDDPred,68
33,34,144,27.0833,33.3333,9.0278,EDDPred,68
34,35,185,23.7838,27.2727,6.4865,EDDPred,68
35,36,173,21.3873,45.9459,9.8266,EDDPred,68
36,37,182,22.5275,34.1463,7.6923,EDDPred,68
37,38,185,23.2432,30.2326,7.027,EDDPred,68
38,39,188,18.617,48.5714,9.0426,EDDPred,68
39,40,156,28.2051,29.5455,8.3333,EDDPred,68
40,41,160,21.875,42.8571,9.375,EDDPred,68
41,42,156,25.641,35.0,8.9744,EDDPred,68
42,43,164,26.2195,30.2326,7.9268,EDDPred,68
43,44,170,25.2941,27.907,7.0588,EDDPred,68
44,45,169,20.7101,40.0,8.284,EDDPred,68
45,46,133,29.3233,33.3333,9.7744,EDDPred,68
46,47,173,23.1214,35.0,8.0925,EDDPred,68
47,48,163,23.3129,34.2105,7.9755,EDDPred,68
48,49,172,20.9302,38.8889,8.1395,EDDPred,68
49,50,179,24.0223,30.2326,7.2626,EDDPred,68
50,1,144,21.5278,45.1613,9.7222,EDDPred,69
51,2,155,23.2258,47.2222,10.9677,EDDPred,69
52,3,179,21.7877,33.3333,7.2626,EDDPred,69
53,4,179,19.5531,40.0,7.8212,EDDPred,69
54,5,160,29.375,27.6596,8.125,EDDPred,69
55,6,167,23.3533,30.7692,7.1856,EDDPred,69
56,7,164,22.561,43.2432,9.7561,EDDPred,69
57,8,165,21.8182,33.3333,7.2727,EDDPred,69
58,9,180,18.8889,35.2941,6.6667,EDDPred,69
59,10,162,20.3704,48.4848,9.8765,EDDPred,69
60,11,180,18.8889,47.0588,8.8889,EDDPred,69
61,12,152,24.3421,35.1351,8.5526,EDDPred,69
62,13,145,24.1379,45.7143,11.0345,EDDPred,69
63,14,164,21.9512,38.8889,8.5366,EDDPred,69
64,15,154,20.7792,43.75,9.0909,EDDPred,69
65,16,168,22.0238,40.5405,8.9286,EDDPred,69
66,17,182,24.7253,26.6667,6.5934,EDDPred,69
67,18,180,23.8889,30.2326,7.2222,EDDPred,69
68,19,161,20.4969,42.4242,8.6957,EDDPred,69
69,20,204,18.1373,35.1351,6.3725,EDDPred,69
70,21,178,20.7865,43.2432,8.9888,EDDPred,69
71,22,159,20.7547,51.5152,10.6918,EDDPred,69
72,23,158,18.9873,53.3333,10.1266,EDDPred,69
73,24,185,18.9189,42.8571,8.1081,EDDPred,69
74,25,166,21.0843,37.1429,7.8313,EDDPred,69
75,26,182,25.8242,29.7872,7.6923,EDDPred,69
76,27,186,20.4301,36.8421,7.5269,EDDPred,69
77,28,174,24.7126,30.2326,7.4713,EDDPred,69
78,29,169,26.6272,33.3333,8.8757,EDDPred,69
79,30,165,22.4242,40.5405,9.0909,EDDPred,69
80,31,154,25.3247,41.0256,10.3896,EDDPred,69
81,32,160,25.625,31.7073,8.125,EDDPred,69
82,33,181,20.442,43.2432,8.8398,EDDPred,69
83,34,144,26.3889,31.5789,8.3333,EDDPred,69
84,35,185,23.7838,27.2727,6.4865,EDDPred,69
85,36,173,21.3873,45.9459,9.8266,EDDPred,69
86,37,182,21.978,32.5,7.1429,EDDPred,69
87,38,185,23.2432,30.2326,7.027,EDDPred,69
88,39,188,18.617,48.5714,9.0426,EDDPred,69
89,40,156,28.2051,29.5455,8.3333,EDDPred,69
90,41,160,21.875,42.8571,9.375,EDDPred,69
91,42,156,23.7179,37.8378,8.9744,EDDPred,69
92,43,164,26.2195,30.2326,7.9268,EDDPred,69
93,44,170,25.2941,27.907,7.0588,EDDPred,69
94,45,169,20.1183,44.1176,8.8757,EDDPred,69
95,46,133,29.3233,33.3333,9.7744,EDDPred,69
96,47,173,25.4335,31.8182,8.0925,EDDPred,69
97,48,163,23.3129,34.2105,7.9755,EDDPred,69
98,49,172,19.7674,41.1765,8.1395,EDDPred,69
99,50,179,24.581,29.5455,7.2626,EDDPred,69
100,1,144,21.5278,45.1613,9.7222,EDDPred,70
101,2,155,22.5806,48.5714,10.9677,EDDPred,70
102,3,179,24.581,29.5455,7.2626,EDDPred,70
103,4,179,21.2291,36.8421,7.8212,EDDPred,70
104,5,160,28.125,28.8889,8.125,EDDPred,70
105,6,167,21.5569,33.3333,7.1856,EDDPred,70
106,7,164,22.561,43.2432,9.7561,EDDPred,70
107,8,165,21.8182,33.3333,7.2727,EDDPred,70
108,9,180,18.3333,36.3636,6.6667,EDDPred,70
109,10,162,20.3704,48.4848,9.8765,EDDPred,70
110,11,180,18.8889,47.0588,8.8889,EDDPred,70
111,12,152,23.6842,36.1111,8.5526,EDDPred,70
112,13,145,24.1379,45.7143,11.0345,EDDPred,70
113,14,164,20.7317,44.1176,9.1463,EDDPred,70
114,15,154,20.1299,45.1613,9.0909,EDDPred,70
115,16,168,22.0238,40.5405,8.9286,EDDPred,70
116,17,182,23.0769,30.9524,7.1429,EDDPred,70
117,18,180,23.3333,30.9524,7.2222,EDDPred,70
118,19,161,20.4969,42.4242,8.6957,EDDPred,70
119,20,204,18.1373,35.1351,6.3725,EDDPred,70
120,21,178,20.7865,43.2432,8.9888,EDDPred,70
121,22,159,20.7547,51.5152,10.6918,EDDPred,70
122,23,158,22.1519,48.5714,10.7595,EDDPred,70
123,24,185,19.4595,41.6667,8.1081,EDDPred,70
124,25,166,21.0843,37.1429,7.8313,EDDPred,70
125,26,182,25.8242,29.7872,7.6923,EDDPred,70
126,27,186,22.043,34.1463,7.5269,EDDPred,70
127,28,174,24.1379,28.5714,6.8966,EDDPred,70
128,29,169,26.6272,33.3333,8.8757,EDDPred,70
129,30,165,21.2121,42.8571,9.0909,EDDPred,70
130,31,154,25.3247,41.0256,10.3896,EDDPred,70
131,32,160,25.625,31.7073,8.125,EDDPred,70
