,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
0,1,144,9.0278,100.0,9.0278,FOFS,68
1,2,155,9.0323,100.0,9.0323,FOFS,68
2,3,179,7.8212,100.0,7.8212,FOFS,68
3,4,179,8.3799,100.0,8.3799,FOFS,68
4,5,160,9.375,100.0,9.375,FOFS,68
5,6,167,6.5868,100.0,6.5868,FOFS,68
6,7,164,7.9268,100.0,7.9268,FOFS,68
7,8,165,9.0909,100.0,9.0909,FOFS,68
8,9,180,8.3333,100.0,8.3333,FOFS,68
9,10,162,7.4074,100.0,7.4074,FOFS,68
10,11,180,7.2222,100.0,7.2222,FOFS,68
11,12,152,10.5263,100.0,10.5263,FOFS,68
12,13,145,9.6552,100.0,9.6552,FOFS,68
13,14,164,7.3171,100.0,7.3171,FOFS,68
14,15,154,9.0909,100.0,9.0909,FOFS,68
15,16,168,7.7381,100.0,7.7381,FOFS,68
16,17,182,6.044,100.0,6.044,FOFS,68
17,18,180,7.7778,100.0,7.7778,FOFS,68
18,19,161,7.4534,100.0,7.4534,FOFS,68
19,20,204,5.3922,100.0,5.3922,FOFS,68
20,21,178,6.7416,100.0,6.7416,FOFS,68
21,22,159,7.5472,100.0,7.5472,FOFS,68
22,23,158,9.4937,100.0,9.4937,FOFS,68
23,24,185,7.5676,100.0,7.5676,FOFS,68
24,25,166,8.4337,100.0,8.4337,FOFS,68
25,26,182,6.5934,100.0,6.5934,FOFS,68
26,27,186,6.9892,100.0,6.9892,FOFS,68
27,28,174,6.8966,100.0,6.8966,FOFS,68
28,29,169,7.1006,100.0,7.1006,FOFS,68
29,30,165,8.4848,100.0,8.4848,FOFS,68
30,31,154,8.4416,100.0,8.4416,FOFS,68
31,32,160,8.125,100.0,8.125,FOFS,68
32,33,181,6.6298,100.0,6.6298,FOFS,68
33,34,144,9.7222,100.0,9.7222,FOFS,68
34,35,185,7.027,100.0,7.027,FOFS,68
35,36,173,8.6705,100.0,8.6705,FOFS,68
36,37,182,7.6923,100.0,7.6923,FOFS,68
37,38,185,7.027,100.0,7.027,FOFS,68
38,39,188,5.3191,100.0,5.3191,FOFS,68
39,40,156,7.6923,100.0,7.6923,FOFS,68
40,41,160,8.125,100.0,8.125,FOFS,68
41,42,156,8.3333,100.0,8.3333,FOFS,68
42,43,164,8.5366,100.0,8.5366,FOFS,68
43,44,170,6.4706,100.0,6.4706,FOFS,68
44,45,169,9.4675,100.0,9.4675,FOFS,68
45,46,133,9.0226,100.0,9.0226,FOFS,68
46,47,173,6.3584,100.0,6.3584,FOFS,68
47,48,163,6.7485,100.0,6.7485,FOFS,68
48,49,172,7.5581,100.0,7.5581,FOFS,68
49,50,179,7.2626,100.0,7.2626,FOFS,68
50,1,144,9.0278,100.0,9.0278,FOFS,69
51,2,155,9.0323,100.0,9.0323,FOFS,69
52,3,179,7.8212,100.0,7.8212,FOFS,69
53,4,179,8.3799,100.0,8.3799,FOFS,69
54,5,160,9.375,100.0,9.375,FOFS,69
55,6,167,6.5868,100.0,6.5868,FOFS,69
56,7,164,7.9268,100.0,7.9268,FOFS,69
57,8,165,9.0909,100.0,9.0909,FOFS,69
58,9,180,8.3333,100.0,8.3333,FOFS,69
59,10,162,7.4074,100.0,7.4074,FOFS,69
60,11,180,7.2222,100.0,7.2222,FOFS,69
61,12,152,10.5263,100.0,10.5263,FOFS,69
62,13,145,9.6552,100.0,9.6552,FOFS,69
63,14,164,7.3171,100.0,7.3171,FOFS,69
