,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
0,1,144,9.0278,100,9.0278,FOFS,37
1,2,155,9.0323,100,9.0323,FOFS,37
2,3,179,7.8212,100,7.8212,FOFS,37
3,4,179,8.3799,100,8.3799,FOFS,37
4,5,160,9.375,100,9.375,FOFS,37
5,6,167,6.5868,100,6.5868,FOFS,37
6,7,164,7.9268,100,7.9268,FOFS,37
7,8,165,9.0909,100,9.0909,FOFS,37
8,9,180,8.3333,100,8.3333,FOFS,37
9,10,162,7.4074,100,7.4074,FOFS,37
10,11,180,7.2222,100,7.2222,FOFS,37
11,12,152,10.5263,100,10.5263,FOFS,37
12,13,145,9.6552,100,9.6552,FOFS,37
13,14,164,7.3171,100,7.3171,FOFS,37
14,15,154,9.0909,100,9.0909,FOFS,37
15,16,168,7.7381,100,7.7381,FOFS,37
16,17,182,6.044,100,6.044,FOFS,37
17,18,180,7.7778,100,7.7778,FOFS,37
18,19,161,7.4534,100,7.4534,FOFS,37
19,20,204,5.3922,100,5.3922,FOFS,37
20,21,178,6.7416,100,6.7416,FOFS,37
21,22,159,7.5472,100,7.5472,FOFS,37
22,23,158,9.4937,100,9.4937,FOFS,37
23,24,185,7.5676,100,7.5676,FOFS,37
24,25,166,8.4337,100,8.4337,FOFS,37
25,26,182,6.5934,100,6.5934,FOFS,37
26,27,186,6.9892,100,6.9892,FOFS,37
27,28,174,6.8966,100,6.8966,FOFS,37
28,29,169,7.1006,100,7.1006,FOFS,37
29,30,165,8.4848,100,8.4848,FOFS,37
30,31,154,8.4416,100,8.4416,FOFS,37
31,32,160,8.125,100,8.125,FOFS,37
32,33,181,6.6298,100,6.6298,FOFS,37
33,34,144,9.7222,100,9.7222,FOFS,37
34,35,185,7.027,100,7.027,FOFS,37
35,36,173,8.6705,100,8.6705,FOFS,37
36,37,182,7.6923,100,7.6923,FOFS,37
37,38,185,7.027,100,7.027,FOFS,37
38,39,188,5.3191,100,5.3191,FOFS,37
39,40,156,7.6923,100,7.6923,FOFS,37
40,41,160,8.125,100,8.125,FOFS,37
41,42,156,8.3333,100,8.3333,FOFS,37
42,43,164,8.5366,100,8.5366,FOFS,37
43,44,170,6.4706,100,6.4706,FOFS,37
44,45,169,9.4675,100,9.4675,FOFS,37
45,46,133,9.0226,100,9.0226,FOFS,37
46,47,173,6.3584,100,6.3584,FOFS,37
47,48,163,6.7485,100,6.7485,FOFS,37
48,49,172,7.5581,100,7.5581,FOFS,37
49,50,179,7.2626,100,7.2626,FOFS,37
50,1,144,9.0278,100,9.0278,FOFS,38
51,2,155,9.0323,100,9.0323,FOFS,38
52,3,179,7.8212,100,7.8212,FOFS,38
53,4,179,8.3799,100,8.3799,FOFS,38
54,5,160,9.375,100,9.375,FOFS,38
55,6,167,6.5868,100,6.5868,FOFS,38
56,7,164,7.9268,100,7.9268,FOFS,38
