,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
0,1,144,22.2222,50.0,11.1111,NomiSch,37
1,2,155,21.9355,52.9412,11.6129,NomiSch,37
2,3,179,18.4358,54.5455,10.0559,NomiSch,37
3,4,179,17.8771,62.5,11.1732,NomiSch,37
4,5,160,18.75,63.3333,11.875,NomiSch,37
5,6,167,20.9581,54.2857,11.3772,NomiSch,37
6,7,164,20.122,54.5455,10.9756,NomiSch,37
7,8,165,21.2121,51.4286,10.9091,NomiSch,37
8,9,180,18.8889,52.9412,10.0,NomiSch,37
9,10,162,20.9877,55.8824,11.7284,NomiSch,37
10,11,180,17.2222,61.2903,10.5556,NomiSch,37
11,12,152,20.3947,67.7419,13.8158,NomiSch,37
12,13,145,22.7586,54.5455,12.4138,NomiSch,37
13,14,164,17.6829,65.5172,11.5854,NomiSch,37
14,15,154,20.7792,65.625,13.6364,NomiSch,37
15,16,168,22.0238,45.9459,10.119,NomiSch,37
16,17,182,18.6813,58.8235,10.989,NomiSch,37
17,18,180,18.3333,57.5758,10.5556,NomiSch,37
18,19,161,19.2547,61.2903,11.8012,NomiSch,37
19,20,204,16.1765,60.6061,9.8039,NomiSch,37
20,21,178,17.4157,61.2903,10.6742,NomiSch,37
21,22,159,18.8679,66.6667,12.5786,NomiSch,37
22,23,158,19.6203,61.2903,12.0253,NomiSch,37
23,24,185,16.2162,66.6667,10.8108,NomiSch,37
24,25,166,19.2771,56.25,10.8434,NomiSch,37
25,26,182,17.5824,59.375,10.4396,NomiSch,37
26,27,186,18.2796,55.8824,10.2151,NomiSch,37
27,28,174,21.2644,48.6486,10.3448,NomiSch,37
28,29,169,17.7515,63.3333,11.2426,NomiSch,37
29,30,165,18.7879,64.5161,12.1212,NomiSch,37
30,31,154,21.4286,63.6364,13.6364,NomiSch,37
31,32,160,18.75,60.0,11.25,NomiSch,37
32,33,181,17.1271,67.7419,11.6022,NomiSch,37
33,34,144,20.8333,63.3333,13.1944,NomiSch,37
34,35,185,15.1351,71.4286,10.8108,NomiSch,37
35,36,173,22.5434,38.4615,8.6705,NomiSch,37
36,37,182,17.5824,62.5,10.989,NomiSch,37
37,38,185,18.3784,52.9412,9.7297,NomiSch,37
38,39,188,21.8085,39.0244,8.5106,NomiSch,37
39,40,156,21.7949,52.9412,11.5385,NomiSch,37
40,41,160,18.75,66.6667,12.5,NomiSch,37
41,42,156,22.4359,48.5714,10.8974,NomiSch,37
42,43,164,19.5122,62.5,12.1951,NomiSch,37
43,44,170,18.2353,58.0645,10.5882,NomiSch,37
44,45,169,17.7515,66.6667,11.8343,NomiSch,37
45,46,133,23.3083,54.8387,12.782,NomiSch,37
46,47,173,17.9191,58.0645,10.4046,NomiSch,37
47,48,163,19.6319,59.375,11.6564,NomiSch,37
48,49,172,19.186,57.5758,11.0465,NomiSch,37
49,50,179,18.4358,54.5455,10.0559,NomiSch,37
50,1,144,20.1389,58.6207,11.8056,NomiSch,38
51,2,155,19.3548,60.0,11.6129,NomiSch,38
52,3,179,18.4358,57.5758,10.6145,NomiSch,38
53,4,179,16.7598,63.3333,10.6145,NomiSch,38
54,5,160,18.75,66.6667,12.5,NomiSch,38
55,6,167,19.1617,56.25,10.7784,NomiSch,38
56,7,164,18.9024,61.2903,11.5854,NomiSch,38
57,8,165,19.3939,56.25,10.9091,NomiSch,38
58,9,180,18.3333,54.5455,10.0,NomiSch,38
59,10,162,20.9877,52.9412,11.1111,NomiSch,38
60,11,180,17.2222,61.2903,10.5556,NomiSch,38
61,12,152,19.0789,72.4138,13.8158,NomiSch,38
62,13,145,23.4483,52.9412,12.4138,NomiSch,38
