,req_id,order_time,desired_time,rental_length
0,0,0,12,19.0
1,1,1,14,60.0
2,2,1,20,18.0
3,3,3,13,36.0
4,4,3,14,22.0
5,5,3,17,65.0
6,6,4,24,58.0
7,7,4,14,25.0
8,8,5,21,44.0
9,9,9,25,66.0
10,10,9,23,27.0
11,11,9,25,27.0
12,12,10,29,125.0
13,13,14,25,24.0
14,14,16,31,45.0
15,15,17,33,30.0
16,16,17,30,38.0
17,17,17,37,23.0
18,18,19,29,37.0
19,19,19,28,26.0
20,20,20,34,30.0
21,21,21,33,49.0
22,22,21,41,33.0
23,23,21,40,27.0
24,24,23,31,29.0
25,25,23,31,66.0
26,26,24,37,67.0
27,27,24,40,28.0
28,28,26,35,26.0
29,29,26,38,111.0
30,30,27,38,59.0
31,31,28,40,25.0
32,32,29,43,37.0
33,33,30,43,106.0
34,34,30,37,14.0
35,35,32,47,30.0
36,36,32,45,36.0
37,37,33,41,163.0
38,38,33,40,148.0
39,39,34,45,43.0
40,40,38,56,45.0
41,41,39,55,68.0
42,42,39,53,70.0
43,43,42,61,40.0
44,44,46,58,46.0
45,45,47,62,30.0
46,46,47,56,51.0
47,47,49,66,52.0
48,48,51,65,35.0
49,49,55,69,39.0
50,50,56,72,65.0
51,51,57,65,14.0
52,52,58,78,63.0
53,53,58,73,34.0
54,54,58,68,35.0
55,55,63,78,41.0
56,56,63,79,67.0
57,57,63,79,99.0
58,58,64,75,43.0
59,59,65,80,39.0
60,60,66,85,46.0
61,61,66,83,19.0
62,62,67,81,23.0
63,63,67,79,28.0
64,64,67,79,54.0
65,65,68,84,16.0
66,66,69,86,63.0
67,67,70,81,17.0
68,68,70,82,59.0
69,69,70,85,31.0
70,70,71,84,143.0
71,71,74,86,12.0
72,72,74,92,44.0
73,73,75,89,30.0
74,74,76,92,44.0
75,75,78,95,135.0
76,76,79,91,41.0
77,77,80,91,36.0
78,78,82,94,47.0
79,79,82,95,49.0
80,80,83,101,39.0
81,81,83,97,26.0
82,82,83,102,19.0
83,83,84,99,54.0
84,84,86,97,34.0
85,85,87,100,50.0
86,86,87,103,87.0
87,87,88,98,57.0
88,88,91,105,33.0
89,89,93,108,37.0
90,90,94,113,95.0
91,91,95,106,27.0
92,92,98,113,10.0
93,93,99,115,38.0
94,94,101,113,44.0
95,95,102,113,45.0
96,96,102,116,47.0
97,97,102,117,36.0
98,98,102,117,34.0
99,99,104,119,31.0
100,100,104,121,83.0
101,101,105,116,30.0
102,102,106,120,31.0
103,103,106,115,26.0
104,104,107,121,34.0
105,105,108,121,54.0
106,106,108,124,69.0
107,107,108,122,69.0
108,108,109,126,32.0
109,109,109,127,28.0
110,110,111,121,60.0
111,111,111,123,30.0
112,112,112,128,71.0
113,113,113,127,12.0
114,114,113,125,36.0
115,115,118,134,21.0
116,116,119,142,63.0
117,117,119,129,30.0
118,118,119,136,28.0
119,119,120,136,30.0
120,120,124,134,25.0
121,121,124,135,38.0
122,122,126,140,28.0
123,123,127,142,27.0
124,124,127,144,57.0
125,125,129,143,65.0
126,126,130,138,46.0
127,127,130,146,37.0
128,128,131,143,57.0
129,129,131,145,96.0
130,130,132,149,19.0
131,131,132,146,49.0
132,132,133,152,26.0
133,133,135,146,22.0
134,134,138,149,62.0
135,135,138,149,21.0
136,136,138,146,41.0
137,137,140,153,34.0
138,138,140,152,22.0
139,139,141,157,60.0
140,140,141,148,41.0
141,141,141,156,65.0
142,142,142,157,42.0
143,143,144,153,29.0
144,144,145,161,36.0
145,145,145,159,27.0
146,146,145,167,70.0
147,147,146,160,29.0
148,148,146,160,91.0
149,149,148,156,20.0
150,150,148,156,47.0
151,151,148,162,28.0
152,152,148,165,40.0
153,153,148,163,33.0
154,154,150,162,57.0
155,155,150,170,79.0
156,156,151,170,30.0
157,157,156,169,46.0
158,158,158,171,31.0
159,159,158,170,58.0
160,160,158,165,18.0
161,161,159,168,32.0
162,162,161,178,45.0
163,164,161,176,67.0
164,165,161,175,60.0
165,166,161,178,30.0
166,167,161,175,12.0
167,168,162,175,55.0
168,169,162,171,116.0
169,171,162,182,54.0
170,172,163,174,17.0
171,173,164,176,28.0
172,174,165,178,35.0
173,175,165,179,43.0
174,176,166,176,28.0
175,177,166,182,55.0
176,178,167,174,27.0
177,179,167,181,99.0
178,180,167,179,74.0
179,183,171,182,64.0
